Country_Name,Airplay,Railway,Ship,Road,Total
Austria,11557.365872311,0.0,1560.96225218,0.0,13118.328124491
Belgium,26212.274750030003,0.0,638.046031736,0.0,26850.320781766004
Bulgaria,3853.72278981,0.0,9718.24329799,46098.180781,59670.1468688
France,65221.94634977,0.0,2973.37970943,0.0,68195.3260592
Germany,251714.21574,0.0,10079.6143196,12026.32371768,273820.15377728
Denmark,17050.46259884,0.0,1037.60193829,890.34558111,18978.41011824
Estonia,484.46455511,0.0,0.0,0.0,484.46455511
United Kingdom,179291.6320959,0.0,3219.47650316,0.0,182511.10859905998
Ireland,2385.24902182,0.0,0.0,0.0,2385.24902182
Spain,7099.09666259,0.0,132.74753286,0.0,7231.84419545
Italy,25421.0464913,0.0,10636.705062,0.0,36057.7515533
Cyprus,36167.4969776,0.0,190.866756297,0.0,36358.363733897
Latvia,7056.943158829999,0.0,0.0,0.0,7056.943158829999
Lithuania,1290.759246386,0.0,0.0,0.0,1290.759246386
Luxembourg,750.755799323,0.0,0.0,0.0,750.755799323
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,50739.23718144999,0.0,815.90770827,0.0,51555.144889719995
Hungary,420.437035202,0.0,606.74319792,0.0,1027.180233122
Poland,5458.9034248,0.0,1965.7112361599998,1042.0471436,8466.66180456
Portugal,1587.68800784,0.0,261.070891093,0.0,1848.758898933
Romania,8625.58292858,0.0,3259.29006196,5607.2060584,17492.07904894
Slovakia,515.288734677,0.0,0.0,0.0,515.288734677
Slovenia,511.351814433,0.0,173.526321409,0.0,684.878135842
Sweden,27034.45095655,0.0,536.2535183,1038.7365113,28609.440986150003
Czech Republic,12382.5546855,0.0,1197.37296835,297.72775531999997,13877.65540917
Finland,22824.29335085,0.0,0.0,0.0,22824.29335085
Albania,2949.9332968599997,0.0,0.0,37869.341077000005,40819.274373860004
Switzerland,27464.247814730006,0.0,3455.5471889299997,0.0,30919.795003660005
Norway,25560.703975279997,0.0,0.0,0.0,25560.703975279997
Iceland,768.497376882,0.0,0.0,0.0,768.497376882
Russia,53194.383011859,0.0,190.866756297,0.0,53385.249768156
Servia-Montenegro,1087.1226836,0.0,0.0,8623.96923714,9711.09192074
Other European countries,9495.114214388,0.0,763.467025184,78489.6446143,88748.225853872
Japan,450.04994501199997,0.0,225.009685324,0.0,675.0596303359999
Iran,900.0998900239999,0.0,0.0,0.0,900.0998900239999
Israel,30259.71776664,0.0,0.0,0.0,30259.71776664
China,1084.7178130050002,0.0,0.0,0.0,1084.7178130050002
Lebanon-Syria,1405.74799033,0.0,0.0,0.0,1405.74799033
South Korea,833.3385536659999,0.0,0.0,0.0,833.3385536659999
Turkey,4624.539164649999,0.0,5374.97481199,57085.136834,67084.65081064
Other Middle East countries,261.069819108,0.0,0.0,0.0,261.069819108
Other Asian countries,2209.5295499510003,0.0,249.117865896,2203.07748207,4661.724897917
Egypt-Sudan,450.04994501199997,0.0,0.0,0.0,450.04994501199997
South Africa,1020.539222079,0.0,0.0,0.0,1020.539222079
Other African Countries,0.0,0.0,0.0,0.0,0.0
Argentina,2400.42983542,0.0,0.0,0.0,2400.42983542
Brazil,5509.16399171,0.0,0.0,0.0,5509.16399171
Mexico,450.04994501199997,0.0,0.0,0.0,450.04994501199997
United States,38213.95467853,0.0,249.117865896,0.0,38463.072544425995
Canada,11073.229597108999,0.0,233.045745521,0.0,11306.275342629999
Other countries of America,2219.890240723,0.0,0.0,0.0,2219.890240723
Australia,8894.311332368,0.0,0.0,0.0,8894.311332368
Other Oceanian countries,1282.92625393,0.0,249.117865896,0.0,1532.044119826
Non-identifiable countries Travelers ,,,,,0.0
