Country_Name,Airplay,Railway,Ship,Road,Total
Austria,1962.845188365,0.0,145.45554742,0.0,2108.300735785
Belgium,1256.2063765070002,0.0,109.38371691200001,0.0,1365.5900934190001
Bulgaria,715.311141379,0.0,6921.275747500001,53313.179535,60949.766423879
France,7630.80664968,0.0,972.4916341200001,0.0,8603.2982838
Germany,16620.23064533,0.0,2083.4919201000002,2356.61942809,21060.34199352
Denmark,929.937152693,0.0,145.45554742,0.0,1075.392700113
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,20674.70982956,0.0,582.99041507,1163.3903053200002,22421.09054995
Ireland,442.526229333,0.0,0.0,0.0,442.526229333
Spain,1245.5890092710001,0.0,0.0,0.0,1245.5890092710001
Italy,7482.799306620001,0.0,5942.2136502,0.0,13425.01295682
Croatia (2),208.267060954,0.0,487.00777063,0.0,695.2748315839999
Cyprus,25828.651535799996,0.0,0.0,0.0,25828.651535799996
Latvia,286.919329926,0.0,157.561337552,0.0,444.480667478
Lithuania,121.8792106974,0.0,0.0,0.0,121.8792106974
Luxembourg,246.884180299,0.0,0.0,0.0,246.884180299
Malta,121.8792106974,0.0,0.0,0.0,121.8792106974
Netherlands,2911.836847,0.0,419.72668044,0.0,3331.56352744
Hungary,0.0,0.0,458.36025471000005,0.0,458.36025471000005
Poland,738.944812275,0.0,432.3826516,1940.6212975899998,3111.9487614649997
Portugal,149.35282605939997,0.0,0.0,0.0,149.35282605939997
Romania,3163.01211301,0.0,1439.2700629199999,10781.2294308,15383.51160673
Slovakia,167.131472665,0.0,0.0,0.0,167.131472665
Slovenia,165.04011921839998,0.0,0.0,0.0,165.04011921839998
Sweden,1711.247418767,0.0,0.0,0.0,1711.247418767
Czech Republic,626.443168252,0.0,257.827643271,0.0,884.270811523
Finland,540.636924127,0.0,0.0,0.0,540.636924127
Albania,208.267060954,0.0,0.0,48750.222031,48958.489091954
Switzerland,6302.03741354,0.0,320.462500742,0.0,6622.499914282
Norway,417.687386005,0.0,0.0,0.0,417.687386005
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,4231.14887123,0.0,0.0,592.9676187,4824.11648993
Servia,351.59278261000003,0.0,1133.24012353,7215.7784114900005,8700.61131763
Other European countries,1927.027123265,0.0,0.0,51554.279023719995,53481.30614698499
Japan,247.870572684,0.0,0.0,0.0,247.870572684
Iran,0.0,0.0,0.0,0.0,0.0
Israel,2642.16228095,0.0,0.0,0.0,2642.16228095
China,1635.11467301,0.0,0.0,0.0,1635.11467301
Lebanon-Syria,2033.022669863,0.0,0.0,0.0,2033.022669863
South Korea,754.2523371389999,0.0,0.0,0.0,754.2523371389999
Turkey,2228.11845212,0.0,2433.26797348,56693.226291,61354.6127166
Other Middle East countries,2932.146861963,0.0,0.0,0.0,2932.146861963
Other Asian countries,1907.006171471,0.0,160.231250371,0.0,2067.237421842
Egypt-Sudan,121.8792106974,0.0,0.0,0.0,121.8792106974
South Africa,682.892318358,0.0,0.0,0.0,682.892318358
Other African Countries,837.190352077,0.0,0.0,0.0,837.190352077
Argentina,0.0,0.0,0.0,0.0,0.0
Brazil,681.099647914,0.0,0.0,0.0,681.099647914
Mexico,753.099073043,0.0,0.0,0.0,753.099073043
United States,13202.38686815,0.0,0.0,0.0,13202.38686815
Canada,1358.832977059,0.0,0.0,0.0,1358.832977059
Other countries of America,463.78147922899996,0.0,0.0,0.0,463.78147922899996
Australia,1786.3648767000002,0.0,0.0,0.0,1786.3648767000002
Other Oceanian countries,125.9913619865,0.0,0.0,0.0,125.9913619865
