Country_Name,Airplay,Railway,Ship,Road,Total
Austria,997.0,0.0,0.0,2525.0,3522.0
Belgium,7163.0,0.0,0.0,0.0,7163.0
Bulgaria,2508.0,1085.0,0.0,32456.0,36049.0
France,9604.0,0.0,3840.0,0.0,13444.0
Germany,20817.0,33.0,7100.0,1482.0,29432.0
Denmark,1115.0,0.0,2246.0,0.0,3361.0
Estonia,184.0,0.0,0.0,0.0,184.0
United Kingdom,25252.0,0.0,1340.0,0.0,26592.0
Ireland,953.0,0.0,0.0,0.0,953.0
Spain,5800.0,0.0,0.0,0.0,5800.0
Italy,7697.0,0.0,5759.0,0.0,13456.0
Cyprus,21197.0,0.0,0.0,0.0,21197.0
Latvia,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,6436.0,0.0,471.0,0.0,6907.0
Hungary,195.0,0.0,0.0,0.0,195.0
Poland,4697.0,32.0,0.0,956.0,5685.0
Portugal,112.0,0.0,0.0,0.0,112.0
Romania,3680.0,160.0,616.0,4780.0,9236.0
Slovakia,141.0,0.0,0.0,0.0,141.0
Slovenia,527.0,0.0,0.0,0.0,527.0
Sweden,2505.0,0.0,0.0,0.0,2505.0
Czech Republic,1289.0,0.0,1042.0,0.0,2331.0
Finland,338.0,0.0,0.0,0.0,338.0
Albania,0.0,0.0,0.0,26844.0,26844.0
Switzerland,1922.0,0.0,4263.0,0.0,6185.0
Norway,882.0,0.0,0.0,0.0,882.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,3671.0,0.0,0.0,0.0,3671.0
Servia-Montenegro,100.0,7.0,0.0,8917.0,9024.0
Other European countries,2695.0,30.0,0.0,56989.0,59714.0
Japan,1119.0,0.0,0.0,0.0,1119.0
Iran,0.0,0.0,0.0,0.0,0.0
Israel,5112.0,0.0,0.0,0.0,5112.0
China,332.0,0.0,0.0,0.0,332.0
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,367.0,0.0,0.0,0.0,367.0
Turkey,1556.0,615.0,0.0,27318.0,29489.0
Other Middle East countries,504.0,0.0,0.0,0.0,504.0
Other Asian countries,741.0,0.0,0.0,0.0,741.0
Egypt-Sudan,193.0,0.0,0.0,0.0,193.0
South Africa,1696.0,0.0,0.0,0.0,1696.0
Other African Countries,2346.0,0.0,710.0,0.0,3056.0
Argentina,570.0,0.0,0.0,0.0,570.0
Brazil,1928.0,0.0,0.0,0.0,1928.0
Mexico,558.0,0.0,0.0,0.0,558.0
United States,12755.0,0.0,0.0,0.0,12755.0
Canada,2692.0,0.0,0.0,0.0,2692.0
Other countries of America,1304.0,0.0,616.0,0.0,1920.0
Australia,2560.0,0.0,1137.0,0.0,3697.0
Other Oceanian countries,338.0,0.0,0.0,0.0,338.0
Non-identifiable countries Travelers ,,,,,0.0
