Country_Name,Airplay,Railway,Ship,Road,Total
Austria,48181.0,0.0,5932.0,0.0,54113.0
Belgium,63935.0,0.0,3039.0,0.0,66974.0
Bulgaria,4190.0,0.0,10316.0,50040.0,64546.0
France,140834.0,0.0,6951.0,0.0,147785.0
Germany,306183.0,0.0,27032.0,0.0,333215.0
Denmark,35863.0,0.0,128.0,0.0,35991.0
Estonia,3099.0,0.0,0.0,0.0,3099.0
United Kingdom,237622.0,0.0,2039.0,0.0,239661.0
Ireland,15187.0,0.0,391.0,0.0,15578.0
Spain,11191.0,0.0,857.0,0.0,12048.0
Italy,83109.0,0.0,23006.0,0.0,106115.0
Cyprus,31380.0,0.0,388.0,0.0,31768.0
Latvia,421.0,0.0,0.0,0.0,421.0
Lithuania,1902.0,0.0,0.0,0.0,1902.0
Luxembourg,4281.0,0.0,0.0,0.0,4281.0
Malta,645.0,0.0,0.0,0.0,645.0
Netherlands,90083.0,0.0,3535.0,0.0,93618.0
Hungary,1825.0,0.0,587.0,1616.0,4028.0
Poland,59401.0,0.0,1272.0,1406.0,62079.0
Portugal,2411.0,0.0,0.0,0.0,2411.0
Romania,4971.0,0.0,1975.0,14213.0,21159.0
Slovakia,2293.0,0.0,0.0,0.0,2293.0
Slovenia,1109.0,0.0,1397.0,0.0,2506.0
Sweden,47422.0,0.0,0.0,0.0,47422.0
Czech Republic,36259.0,0.0,1591.0,0.0,37850.0
Finland,39714.0,0.0,78.0,0.0,39792.0
Albania,0.0,0.0,0.0,30712.0,30712.0
Switzerland,45943.0,0.0,5307.0,0.0,51250.0
Norway,49798.0,0.0,473.0,0.0,50271.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,114364.0,0.0,343.0,1190.0,115897.0
Servia-Montenegro,2937.0,0.0,0.0,85451.0,88388.0
Other European countries,18317.0,0.0,0.0,146468.0,164785.0
Japan,1811.0,0.0,0.0,0.0,1811.0
Iran,911.0,0.0,1887.0,0.0,2798.0
Israel,34327.0,0.0,0.0,0.0,34327.0
China,1577.0,0.0,0.0,0.0,1577.0
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,409.0,0.0,0.0,0.0,409.0
Turkey,1506.0,0.0,5504.0,66148.0,73158.0
Other Middle East countries,923.0,0.0,0.0,0.0,923.0
Other Asian countries,6729.0,0.0,0.0,0.0,6729.0
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,3807.0,0.0,343.0,0.0,4150.0
Other African Countries,1289.0,0.0,231.0,0.0,1520.0
Argentina,1579.0,0.0,121.0,0.0,1700.0
Brazil,4977.0,0.0,0.0,0.0,4977.0
Mexico,0.0,0.0,0.0,0.0,0.0
United States,72494.0,0.0,1288.0,0.0,73782.0
Canada,19230.0,0.0,1534.0,0.0,20764.0
Other countries of America,1962.0,0.0,686.0,0.0,2648.0
Australia,13735.0,0.0,1257.0,,14992.0
Other Oceanian countries,3822.0,0.0,231.0,490.0,4543.0
Non-identifiable countries Travelers ,0.0,0.0,0.0,0.0,0.0
