Country_Name,Airplay,Railway,Ship,Road,Total
Austria,36850.059403369996,0.0,991.9803191000001,0.0,37842.03972247
Belgium,59748.69201332,0.0,1007.9031500899999,0.0,60756.59516341
Bulgaria,710.470532115,0.0,7235.44443577,70160.67967499999,78106.594642885
France,162573.72109255995,0.0,2944.7882008799997,0.0,165518.50929343994
Germany,314481.8846566,17.760978871,8646.5635015,14664.6114766,337810.82061357104
Denmark,27996.26243183,0.0,0.0,0.0,27996.26243183
Estonia,4322.41771887,0.0,0.0,0.0,4322.41771887
United Kingdom,386462.149072,0.0,2022.5360443,0.0,388484.6851163
Ireland,13337.22569043,0.0,0.0,0.0,13337.22569043
Spain,16406.16473127,0.0,509.413984893,0.0,16915.578716163
Italy,57364.37863586,0.0,8839.3306115,0.0,66203.70924735999
Croatia (2),960.2840479600001,0.0,630.3208661360001,0.0,1590.6049140960001
Cyprus,46463.84939919999,0.0,208.9011176,0.0,46672.75051679999
Latvia,6088.0034274,0.0,0.0,395.82894034000003,6483.83236774
Lithuania,5890.310546940002,0.0,473.07016854399996,890.61511576,7253.995831244001
Luxembourg,2061.85322505,0.0,85.6614413752,0.0,2147.5146664252
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,89021.16925060001,0.0,1937.6910737399999,0.0,90958.86032434001
Hungary,2859.4086104700004,0.0,626.7033528,0.0,3486.11196327
Poland,65106.2291408,0.0,840.427821508,4552.0328139,70498.689776208
Portugal,3296.80398978,0.0,0.0,0.0,3296.80398978
Romania,6174.20335326,4.0589911125,2369.27190025,28499.1319501,37046.6661947225
Slovakia,1247.09924447,0.0,0.0,0.0,1247.09924447
Slovenia,1221.76739367,0.0,0.0,0.0,1221.76739367
Sweden,57352.2849819,0.0,0.0,0.0,57352.2849819
Czech Republic,77638.04425552001,2.5368694453,626.7033528,1817.4419090699998,80084.72638683532
Finland,25114.55913373,0.0,85.6614413752,0.0,25200.2205751052
Albania,898.8282812169999,0.0,0.0,43918.40258325,44817.230864467
Switzerland,42483.32441324,0.0,2908.8554216500006,0.0,45392.17983489
Norway,49758.0650326,0.0,0.0,0.0,49758.0650326
Iceland,956.56114199,0.0,0.0,0.0,956.56114199
Russia,233196.7354195,0.0,208.9011176,3067.6742876,236473.31082470002
Servia,5135.3036284400005,155.76378394,0.0,121090.827788,126381.89520038
Other European countries,32253.734587807,313.04968955,1451.2004422189998,237433.64385324,271451.62857281603
Japan,2694.1913670699996,0.0,0.0,0.0,2694.1913670699996
Iran,0.0,0.0,0.0,0.0,0.0
Israel,31471.953712149996,0.0,0.0,0.0,31471.953712149996
China,5955.584387702999,0.0,0.0,0.0,5955.584387702999
Lebanon-Syria,2959.92695182,0.0,0.0,0.0,2959.92695182
South Korea,932.234106761,0.0,0.0,0.0,932.234106761
Turkey,6643.221059210001,0.0,4812.1054382600005,56470.5244066,67925.85090407
Other Middle East countries,6413.194907415,0.0,0.0,0.0,6413.194907415
Other Asian countries,8883.472650439,0.0,630.3208661360001,0.0,9513.793516575
Egypt-Sudan,483.77873073200004,0.0,0.0,0.0,483.77873073200004
South Africa,6411.247715950001,0.0,0.0,0.0,6411.247715950001
Other African Countries,2419.1457895119997,0.0,0.0,0.0,2419.1457895119997
Argentina,4629.01001511,0.0,922.9698396900001,0.0,5551.9798548
Brazil,4014.82331619,0.0,0.0,0.0,4014.82331619
Mexico,5071.572665260001,0.0,0.0,0.0,5071.572665260001
United States,75966.85311151999,0.0,3024.03939347,0.0,78990.89250498998
Canada,27680.54078518,0.0,922.9698396900001,0.0,28603.51062487
Other countries of America,2959.6648071209997,0.0,0.0,0.0,2959.6648071209997
Australia,26765.55648,0.0,0.0,0.0,26765.55648
Other Oceanian countries,1263.70764745,0.0,0.0,0.0,1263.70764745
