Country_Name,Airplay,Railway,Ship,Road,Total
Austria,1796.0,0.0,1973.0,910.0,4679.0
Belgium,13688.0,0.0,419.0,0.0,14107.0
Bulgaria,4610.0,0.0,15430.0,80493.0,100533.0
France,71653.0,0.0,2837.0,0.0,74490.0
Germany,47494.0,0.0,10746.0,0.0,58240.0
Denmark,5474.0,0.0,209.0,0.0,5683.0
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,33012.0,0.0,1581.0,0.0,34593.0
Ireland,1594.0,0.0,0.0,0.0,1594.0
Spain,9034.0,0.0,0.0,0.0,9034.0
Italy,10277.0,0.0,11717.0,701.0,22695.0
Cyprus,41484.0,0.0,142.0,0.0,41626.0
Latvia,156.0,0.0,0.0,0.0,156.0
Lithuania,1299.0,0.0,249.0,104.0,1652.0
Luxembourg,1094.0,0.0,0.0,0.0,1094.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,7650.0,0.0,1885.0,0.0,9535.0
Hungary,2001.0,0.0,370.0,0.0,2371.0
Poland,1937.0,0.0,740.0,0.0,2677.0
Portugal,824.0,0.0,545.0,0.0,1369.0
Romania,2340.0,0.0,2929.0,12780.0,18049.0
Slovakia,694.0,0.0,0.0,0.0,694.0
Slovenia,0.0,0.0,329.0,0.0,329.0
Sweden,17059.0,0.0,210.0,0.0,17269.0
Czech Republic,552.0,0.0,370.0,0.0,922.0
Finland,10678.0,0.0,120.0,0.0,10798.0
Albania,2325.0,0.0,0.0,24532.0,26857.0
Switzerland,6092.0,0.0,2097.0,297.0,8486.0
Norway,9012.0,0.0,0.0,0.0,9012.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,6744.0,0.0,0.0,623.0,7367.0
Servia-Montenegro,2540.0,0.0,370.0,15478.0,18388.0
Other European countries,417.0,0.0,699.0,58363.0,59479.0
Japan,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0
Israel,22794.0,0.0,0.0,0.0,22794.0
China,767.0,0.0,0.0,0.0,767.0
Lebanon-Syria,792.0,0.0,0.0,0.0,792.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,2977.0,0.0,1887.0,13343.0,18207.0
Other Middle East countries,788.0,0.0,0.0,0.0,788.0
Other Asian countries,3540.0,0.0,0.0,0.0,3540.0
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,2917.0,0.0,0.0,0.0,2917.0
Other African Countries,850.0,0.0,0.0,0.0,850.0
Argentina,752.0,0.0,0.0,0.0,752.0
Brazil,2176.0,0.0,0.0,0.0,2176.0
Mexico,694.0,0.0,0.0,0.0,694.0
United States,40299.0,0.0,740.0,0.0,41039.0
Canada,6240.0,0.0,0.0,0.0,6240.0
Other countries of America,1556.0,0.0,0.0,0.0,1556.0
Australia,1305.0,0.0,0.0,0.0,1305.0
Other Oceanian countries,1196.0,0.0,0.0,0.0,1196.0
Non-identifiable countries Travelers ,0.0,0.0,0.0,0.0,0.0
