Country_Name,Airplay,Railway,Ship,Road,Total
Austria,78415.0,0.0,6864.0,5802.0,91081.0
Belgium,101713.0,0.0,2612.0,0.0,104325.0
Bulgaria,619.0,0.0,4189.0,57925.0,62733.0
France,169839.0,0.0,5528.0,0.0,175367.0
Germany,364579.0,0.0,13421.0,17791.0,395791.0
Denmark,71027.0,0.0,878.0,3094.0,74999.0
Estonia,1807.0,0.0,853.0,0.0,2660.0
United Kingdom,218896.0,0.0,2558.0,358.0,221812.0
Ireland,4961.0,0.0,707.0,0.0,5668.0
Spain,25556.0,0.0,1394.0,0.0,26950.0
Italy,151974.0,0.0,32118.0,0.0,184092.0
Cyprus,64160.0,0.0,0.0,0.0,64160.0
Latvia,1926.0,0.0,0.0,0.0,1926.0
Lithuania,1135.0,0.0,0.0,0.0,1135.0
Luxembourg,2319.0,0.0,0.0,0.0,2319.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,101598.0,0.0,1838.0,2507.0,105943.0
Hungary,13907.0,0.0,0.0,8333.0,22240.0
Poland,129105.0,0.0,2435.0,3742.0,135282.0
Portugal,4701.0,0.0,381.0,0.0,5082.0
Romania,15021.0,0.0,1426.0,22309.0,38756.0
Slovakia,9175.0,0.0,0.0,0.0,9175.0
Slovenia,7852.0,0.0,3693.0,0.0,11545.0
Sweden,72919.0,0.0,119.0,0.0,73038.0
Czech Republic,74801.0,0.0,1228.0,2913.0,78942.0
Finland,16442.0,0.0,114.0,0.0,16556.0
Albania,2621.0,0.0,0.0,28053.0,30674.0
Switzerland,56585.0,0.0,3286.0,0.0,59871.0
Norway,67319.0,0.0,152.0,0.0,67471.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,123872.0,0.0,538.0,12379.0,136789.0
Servia-Montenegro,3884.0,0.0,0.0,180993.0,184877.0
Other European countries,29318.0,0.0,444.0,273196.0,302958.0
Japan,0.0,0.0,621.0,0.0,621.0
Iran,0.0,0.0,146.0,836.0,982.0
Israel,30484.0,0.0,386.0,0.0,30870.0
China,1268.0,0.0,622.0,0.0,1890.0
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,415.0,0.0,0.0,0.0,415.0
Turkey,4641.0,0.0,2190.0,111634.0,118465.0
Other Middle East countries,3306.2,0.0,386.0,0.0,3692.2
Other Asian countries,6064.0,,152.0,2865.0,9081.0
Egypt-Sudan,802.0,0.0,0.0,0.0,802.0
South Africa,3438.0,0.0,0.0,0.0,3438.0
Other African Countries,399.0,0.0,0.0,0.0,399.0
Argentina,2440.0,0.0,621.0,0.0,3061.0
Brazil,8398.0,0.0,0.0,0.0,8398.0
Mexico,702.0,0.0,0.0,0.0,702.0
United States,57323.0,0.0,756.0,0.0,58079.0
Canada,15172.0,0.0,773.0,0.0,15945.0
Other countries of America,3788.0,0.0,0.0,0.0,3788.0
Australia,24238.0,0.0,2868.0,0.0,27106.0
Other Oceanian countries,1729.0,0.0,378.0,0.0,2107.0
Non-identifiable countries Travelers ,,,,,0.0
