Country_Name,Airplay,Railway,Ship,Road,Total
Austria,59445.33592785001,6.9041032687,3410.69789582,4344.8753963,67207.8133232387
Belgium,103453.86549514998,0.0,1039.2498729190002,0.0,104493.11536806897
Bulgaria,582.943963972,136.98047914,5643.43432586,149860.78542929998,156224.14419827197
France,249970.8552138,0.0,4406.97985407,0.0,254377.83506787
Germany,281935.4407927999,60.410903601,11337.20757529,38017.659717,331350.7189886909
Denmark,79838.7490021,0.0,93.375001484,0.0,79932.124003584
Estonia,4968.72057282,0.0,0.0,0.0,4968.72057282
United Kingdom,309468.95822479995,6.9041032687,2292.566242879,4344.8753963,316113.30396724766
Ireland,12899.12798591,0.0,222.950559866,0.0,13122.078545776
Spain,20320.293132420004,0.0,275.11965598899997,0.0,20595.412788409005
Italy,206274.77733080002,0.0,25959.155839500003,0.0,232233.93317030004
Croatia (2),1950.87062412,0.0,470.788251875,0.0,2421.658875995
Cyprus,60233.0158361,1.8510875559,235.394125938,1994.2026728700002,62464.4637224639
Latvia,5537.3209338199995,0.0,235.394125938,0.0,5772.715059757999
Lithuania,10998.542369900002,0.0,0.0,0.0,10998.542369900002
Luxembourg,670.2857026199999,0.0,0.0,0.0,670.2857026199999
Malta,1811.7641873500002,0.0,0.0,0.0,1811.7641873500002
Netherlands,126101.77326665001,0.0,2412.27749539,1962.67511823,130476.72588027001
Hungary,15207.040361189998,2.1155286353,1012.4593547920001,2279.08876897,18500.7040135873
Poland,140785.52108109999,5.8177037471,2110.14940453,6267.4941147,149168.9823040771
Portugal,1953.79234507,0.0,222.950559866,0.0,2176.742904936
Romania,12049.883965689998,104.12621118,2099.63123339,104389.66477860001,118643.30618886
Slovakia,17196.082095840004,0.0,0.0,0.0,17196.082095840004
Slovenia,2107.42823556,0.0,2120.670123,0.0,4228.09835856
Sweden,53411.13793692,0.0,1078.13159333,0.0,54489.26953025
Czech Republic,94431.08565791001,2.1155286353,1413.4262503599998,2279.08876897,98125.71620587532
Finland,29287.060134569998,0.0,0.0,0.0,29287.060134569998
Albania,1744.67341099,0.0,437.041307461,43636.067833,45817.782551451004
Switzerland,59005.34610499999,0.0,3409.4998371700003,0.0,62414.84594216999
Norway,44727.86113594,0.0,233.077683283,0.0,44960.938819223
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,280036.01332130004,10.313202097,2598.40715035,11110.557748700001,293755.2914224471
Servia,2027.80047813,492.12277108,0.0,337135.0675124,339654.99076161
Other European countries,54018.144197523,869.6348751065,222.437036047,600469.1501888,655579.3662974765
Japan,597.240309538,0.0,0.0,0.0,597.240309538
Iran,0.0,0.0,0.0,0.0,0.0
Israel,17793.5301565,0.0,0.0,0.0,17793.5301565
China,3657.32194016,0.0,0.0,0.0,3657.32194016
Lebanon-Syria,5052.54689046,0.0,0.0,0.0,5052.54689046
South Korea,1074.86822347,0.0,374.951055718,0.0,1449.819279188
Turkey,14857.086332699999,2.1155286353,4220.05232119,232893.41516640002,251972.66934892532
Other Middle East countries,7155.556183175,0.0,0.0,0.0,7155.556183175
Other Asian countries,5934.980815399,4.2310572706,0.0,4558.17753794,10497.3894106096
Egypt-Sudan,391.817699292,0.0,0.0,0.0,391.817699292
South Africa,4049.7382461099996,0.0,0.0,0.0,4049.7382461099996
Other African Countries,530.293366498,0.0,0.0,0.0,530.293366498
Argentina,2288.9302257500003,0.0,83.8399409367,0.0,2372.7701666867
Brazil,11464.556306769999,0.0,0.0,0.0,11464.556306769999
Mexico,3437.9818851699997,0.0,391.840742911,0.0,3829.8226280809995
United States,89772.55137004997,0.0,660.438178178,0.0,90432.98954822797
Canada,18858.6220744,0.0,167.67988186899998,0.0,19026.301956269
Other countries of America,9354.20562778,0.0,374.951055718,0.0,9729.156683498
Australia,47357.23478743999,0.0,1483.247606652,0.0,48840.482394091996
Other Oceanian countries,4794.71467338,0.0,0.0,0.0,4794.71467338
