Country_Name,Airplay,Railway,Ship,Road,Total
Austria,1693.110130087,0.0,500.665110412,0.0,2193.775240499
Belgium,2806.839604334,0.0,0.0,0.0,2806.839604334
Bulgaria,892.910859208,0.0,8714.3384673,34453.234001,44060.483327507995
France,5130.39691816,0.0,985.99743669,1098.15726257,7214.551617419999
Germany,28303.45510871,0.0,3044.2651115599997,2713.0944134,34060.81463367
Denmark,983.2525924649999,0.0,0.0,0.0,983.2525924649999
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,21593.8082005,0.0,438.281478635,0.0,22032.089679135
Ireland,1020.196195559,0.0,161.732977985,0.0,1181.929173544
Spain,3882.47670194,0.0,0.0,0.0,3882.47670194
Italy,11338.96603947,0.0,6054.067350349999,0.0,17393.03338982
Croatia (2),183.7257747428,0.0,0.0,0.0,183.7257747428
Cyprus,20858.10882084,0.0,0.0,0.0,20858.10882084
Latvia,0.0,0.0,0.0,0.0,0.0
Lithuania,673.799453975,0.0,0.0,0.0,673.799453975
Luxembourg,762.952130787,0.0,0.0,0.0,762.952130787
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,10377.858899230001,0.0,218.00753069799998,516.77988827,11112.646318198002
Hungary,0.0,0.0,275.47791434199996,0.0,275.47791434199996
Poland,1341.8320190299999,0.0,173.74170193,242.34396718,1757.9176881399999
Portugal,241.95409318289998,0.0,0.0,0.0,241.95409318289998
Romania,2485.4864140100003,0.0,1377.38957171,7027.975048099999,10890.85103382
Slovakia,0.0,0.0,196.397212446,0.0,196.397212446
Slovenia,72.9719585562,0.0,802.666868248,0.0,875.6388268042
Sweden,5707.50121058,0.0,0.0,0.0,5707.50121058
Czech Republic,1427.448896445,0.0,0.0,0.0,1427.448896445
Finland,664.5292016100001,0.0,0.0,0.0,664.5292016100001
Albania,673.799453975,0.0,173.74170193,36315.461103,37163.002258905
Switzerland,9493.49451223,0.0,173.74170193,0.0,9667.236214159999
Norway,1030.033303426,0.0,0.0,0.0,1030.033303426
Iceland,234.7364636607,0.0,0.0,0.0,234.7364636607
Russia,7664.87990223,0.0,189.96781304499999,2908.1276061999997,10762.975321475
Servia,0.0,0.0,0.0,6301.225017520001,6301.225017520001
Other European countries,1564.0909447321,0.0,0.0,60881.80722135,62445.8981660821
Japan,1018.4985383549999,0.0,170.780184736,0.0,1189.2787230909998
Iran,234.7364636607,0.0,0.0,0.0,234.7364636607
Israel,794.238550824,0.0,0.0,0.0,794.238550824
China,1441.4413799568001,0.0,0.0,0.0,1441.4413799568001
Lebanon-Syria,1980.771044022,0.0,0.0,0.0,1980.771044022
South Korea,1692.685275284,0.0,0.0,0.0,1692.685275284
Turkey,3325.639189155,0.0,4206.99858891,35743.026716,43275.664494065
Other Middle East countries,5221.552727456099,0.0,0.0,0.0,5221.552727456099
Other Asian countries,4448.867491508399,0.0,0.0,1682.02478663,6130.892278138399
Egypt-Sudan,203.12258995739998,0.0,0.0,0.0,203.12258995739998
South Africa,1217.445459043,0.0,0.0,0.0,1217.445459043
Other African Countries,1771.41183765,0.0,0.0,0.0,1771.41183765
Argentina,2402.274272262,0.0,0.0,0.0,2402.274272262
Brazil,930.594952061,0.0,0.0,0.0,930.594952061
Mexico,340.99304717110005,0.0,0.0,0.0,340.99304717110005
United States,9902.18213635,0.0,0.0,0.0,9902.18213635
Canada,2259.6484637209996,0.0,0.0,0.0,2259.6484637209996
Other countries of America,949.522135195,0.0,0.0,0.0,949.522135195
Australia,3112.0581531400003,0.0,0.0,0.0,3112.0581531400003
Other Oceanian countries,198.55963770350002,0.0,0.0,0.0,198.55963770350002
