Country_Name,Airplay,Railway,Ship,Road,Total
Austria,12949.0,0.0,1957.0,322.0,15228.0
Belgium,35752.0,0.0,751.0,0.0,36503.0
Bulgaria,4503.0,0.0,3999.0,71966.0,80468.0
France,144974.0,0.0,7785.0,842.0,153601.0
Germany,173759.0,0.0,10036.0,0.0,183795.0
Denmark,14450.0,0.0,0.0,0.0,14450.0
Estonia,1174.0,0.0,0.0,0.0,1174.0
United Kingdom,171646.0,0.0,3663.0,0.0,175309.0
Ireland,2675.0,0.0,265.0,0.0,2940.0
Spain,6201.0,0.0,408.0,0.0,6609.0
Italy,21268.0,0.0,8355.0,0.0,29623.0
Cyprus,26576.0,0.0,822.0,0.0,27398.0
Latvia,1269.0,0.0,0.0,0.0,1269.0
Lithuania,3511.0,0.0,0.0,0.0,3511.0
Luxembourg,2878.0,0.0,265.0,0.0,3143.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,82997.0,0.0,1852.0,1122.0,85971.0
Hungary,3282.0,0.0,1346.0,322.0,4950.0
Poland,21048.0,0.0,1436.0,2093.0,24577.0
Portugal,491.0,0.0,242.0,0.0,733.0
Romania,1958.0,0.0,5285.0,13399.0,20642.0
Slovakia,227.0,0.0,0.0,0.0,227.0
Slovenia,0.0,0.0,0.0,0.0,0.0
Sweden,42559.0,0.0,0.0,0.0,42559.0
Czech Republic,10105.0,0.0,317.0,0.0,10422.0
Finland,9464.0,0.0,0.0,0.0,9464.0
Albania,5703.0,0.0,0.0,44087.0,49790.0
Switzerland,17909.0,0.0,3166.0,0.0,21075.0
Norway,14433.0,0.0,335.0,0.0,14768.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,76119.0,0.0,551.0,322.0,76992.0
Servia-Montenegro,1421.0,0.0,0.0,8256.0,9677.0
Other European countries,8102.0,0.0,999.0,82932.0,92033.0
Japan,728.0,0.0,0.0,0.0,728.0
Iran,562.0,0.0,986.0,0.0,1548.0
Israel,17294.0,0.0,0.0,0.0,17294.0
China,2067.0,0.0,0.0,0.0,2067.0
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,194.0,0.0,0.0,0.0,194.0
Turkey,2667.0,0.0,4180.0,34039.0,40886.0
Other Middle East countries,2696.0,0.0,0.0,0.0,2696.0
Other Asian countries,1325.0,0.0,0.0,0.0,1325.0
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,2796.0,0.0,0.0,0.0,2796.0
Other African Countries,540.0,0.0,0.0,0.0,540.0
Argentina,676.0,0.0,0.0,0.0,676.0
Brazil,6538.0,0.0,0.0,0.0,6538.0
Mexico,359.0,0.0,0.0,0.0,359.0
United States,45796.0,0.0,1520.0,0.0,47316.0
Canada,13396.0,0.0,0.0,0.0,13396.0
Other countries of America,481.0,0.0,0.0,0.0,481.0
Australia,3916.0,0.0,0.0,0.0,3916.0
Other Oceanian countries,1309.0,0.0,0.0,0.0,1309.0
Non-identifiable countries Travelers ,0.0,0.0,0.0,0.0,0.0
