Country_Name,Airplay,Railway,Ship,Road,Total
Austria,4407.488748098,0.0,1012.75600023,0.0,5420.244748327999
Belgium,2743.685237217,0.0,680.5720321599999,0.0,3424.257269377
Bulgaria,3157.03818718,0.0,1325.68394933,32916.602873230004,37399.32500974
France,7324.725035535,0.0,712.9802241699999,0.0,8037.705259705
Germany,22690.28724141,0.0,5509.3926412,731.0564196400001,28930.73630225
Denmark,684.1987881649001,0.0,0.0,0.0,684.1987881649001
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,17004.0499277,0.0,2325.2877765000003,0.0,19329.337704200003
Ireland,290.36463097719997,0.0,0.0,0.0,290.36463097719997
Spain,4887.4117170399995,0.0,1336.83792031,0.0,6224.24963735
Italy,6589.747753,0.0,4488.5345931,0.0,11078.2823461
Cyprus,20547.186793809997,0.0,0.0,0.0,20547.186793809997
Latvia,943.1818424406,0.0,0.0,0.0,943.1818424406
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,5669.296116753,0.0,680.5720321599999,0.0,6349.868148913
Hungary,0.0,0.0,1334.70220749,0.0,1334.70220749
Poland,0.0,0.0,1325.68394933,1322.52747296,2648.21142229
Portugal,62.9815624118,0.0,0.0,0.0,62.9815624118
Romania,3209.2414242269997,0.0,333.67555187,6764.0611634,10306.978139497
Slovakia,0.0,0.0,0.0,0.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0
Sweden,2068.938826366,0.0,0.0,0.0,2068.938826366
Czech Republic,1382.45452235,0.0,0.0,0.0,1382.45452235
Finland,62.9815624118,0.0,0.0,0.0,62.9815624118
Albania,2447.97809099,0.0,0.0,49335.135746,51783.11383699
Switzerland,4079.454189641,0.0,757.53368533,0.0,4836.987874971001
Norway,211.8882314519,0.0,333.67555187,0.0,545.5637833219
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,4728.447962285,0.0,0.0,552.03964976,5280.487612045001
Servia-Montenegro,3189.082128081,0.0,0.0,6417.050794700001,9606.132922781
Other European countries,2307.3873418433,0.0,667.35110374,59047.59641683,62022.3348624133
Japan,0.0,0.0,243.492970281,0.0,243.492970281
Iran,197.412009229,0.0,0.0,0.0,197.412009229
Israel,394.82401846790003,0.0,0.0,0.0,394.82401846790003
China,1500.3550252789998,0.0,0.0,0.0,1500.3550252789998
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,460.8181741266,0.0,0.0,0.0,460.8181741266
Turkey,2924.498226952,0.0,0.0,15583.038377100002,18507.536604052002
Other Middle East countries,2304.0908706132,0.0,0.0,0.0,2304.0908706132
Other Asian countries,1725.7606073921002,0.0,333.67555187,0.0,2059.4361592621003
Egypt-Sudan,576.0318105711999,0.0,0.0,0.0,576.0318105711999
South Africa,753.5370322364,0.0,0.0,0.0,753.5370322364
Other African Countries,280.3036687638,0.0,0.0,0.0,280.3036687638
Argentina,280.3036687638,0.0,0.0,0.0,280.3036687638
Brazil,884.5946370304,0.0,0.0,0.0,884.5946370304
Mexico,409.3002406908,0.0,0.0,0.0,409.3002406908
United States,11006.12318562,0.0,0.0,0.0,11006.12318562
Canada,1945.36183455,0.0,0.0,0.0,1945.36183455
Other countries of America,1031.9981062343,0.0,0.0,0.0,1031.9981062343
Australia,1888.738234484,0.0,0.0,0.0,1888.738234484
Other Oceanian countries,0.0,0.0,0.0,0.0,0.0
Non-identifiable countries Travelers ,,,,,0.0
