Country_Name,Airplay,Railway,Ship,Road,Total
Austria,39398.0,0.0,7752.0,0.0,47150.0
Belgium,69619.0,0.0,3364.0,0.0,72983.0
Bulgaria,1374.0,0.0,10350.0,43805.0,55529.0
France,151994.0,0.0,9660.0,0.0,161654.0
Germany,316107.0,0.0,51061.0,20034.0,387202.0
Denmark,35341.0,0.0,0.0,0.0,35341.0
Estonia,1021.0,0.0,0.0,0.0,1021.0
United Kingdom,325922.0,0.0,4162.0,0.0,330084.0
Ireland,11371.0,0.0,230.0,0.0,11601.0
Spain,12748.0,0.0,274.0,0.0,13022.0
Italy,124671.0,0.0,40414.0,0.0,165085.0
Cyprus,40033.0,0.0,0.0,0.0,40033.0
Latvia,0.0,0.0,0.0,259.0,259.0
Lithuania,1704.0,0.0,0.0,0.0,1704.0
Luxembourg,9886.0,0.0,240.0,0.0,10126.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,77174.0,0.0,4942.0,0.0,82116.0
Hungary,4802.0,0.0,0.0,1166.0,5968.0
Poland,108914.0,0.0,1876.0,1749.0,112539.0
Portugal,12488.0,0.0,0.0,0.0,12488.0
Romania,14691.0,0.0,6344.0,6155.0,27190.0
Slovakia,10778.0,0.0,0.0,0.0,10778.0
Slovenia,914.0,0.0,735.0,5399.0,7048.0
Sweden,48739.0,0.0,0.0,0.0,48739.0
Czech Republic,67055.0,0.0,756.0,259.0,68070.0
Finland,36290.0,0.0,0.0,0.0,36290.0
Albania,2766.0,0.0,0.0,28576.0,31342.0
Switzerland,53452.0,0.0,2433.0,0.0,55885.0
Norway,34069.0,0.0,662.0,0.0,34731.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,135811.0,0.0,1263.0,2721.0,139795.0
Servia-Montenegro,4244.0,0.0,0.0,51396.0,55640.0
Other European countries,20947.0,0.0,698.0,276279.0,297924.0
Japan,734.0,0.0,318.0,0.0,1052.0
Iran,0.0,0.0,0.0,0.0,0.0
Israel,42482.0,0.0,0.0,0.0,42482.0
China,775.0,0.0,0.0,0.0,775.0
Lebanon-Syria,1580.0,0.0,0.0,0.0,1580.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,2014.0,0.0,7798.0,37417.0,47229.0
Other Middle East countries,631.0,0.0,0.0,0.0,631.0
Other Asian countries,3720.0,0.0,687.0,0.0,4407.0
Egypt-Sudan,1333.0,0.0,0.0,0.0,1333.0
South Africa,445.0,0.0,0.0,0.0,445.0
Other African Countries,410.0,0.0,0.0,0.0,410.0
Argentina,2090.0,0.0,340.0,0.0,2430.0
Brazil,10916.0,0.0,0.0,0.0,10916.0
Mexico,1537.0,0.0,0.0,0.0,1537.0
United States,60984.0,0.0,2015.0,0.0,62999.0
Canada,25056.0,0.0,467.0,0.0,25523.0
Other countries of America,3616.0,0.0,0.0,0.0,3616.0
Australia,15158.0,0.0,2676.0,0.0,17834.0
Other Oceanian countries,4171.0,0.0,0.0,0.0,4171.0
Non-identifiable countries Travelers ,,,,,0.0
