Country_Name,Airplay,Railway,Ship,Road,Total
Austria,46282.111242160005,0.0,6146.2573937,0.0,52428.36863586
Belgium,49032.471747539996,0.0,2171.8203302,0.0,51204.29207774
Bulgaria,2028.78867312,0.0,8489.174941570001,66015.394377,76533.35799169
France,157027.00298760997,0.0,6374.4499062,0.0,163401.45289380997
Germany,331926.6214379,0.0,32283.452034200003,97686.2853591,461896.35883120005
Denmark,31702.473263570002,0.0,462.90638092,0.0,32165.379644490004
Estonia,699.778614479,0.0,0.0,0.0,699.778614479
United Kingdom,333862.8566326001,0.0,3751.55352993,0.0,337614.4101625301
Ireland,7624.48679889,0.0,0.0,0.0,7624.48679889
Spain,10648.74681637,0.0,274.88775486,0.0,10923.634571229999
Italy,136881.7248507,0.0,29608.2078319,206.175873118,166696.10855571798
Croatia (2),1152.0,0.0,2534.0,0.0,3686.0
Cyprus,70550.5871042,0.0,0.0,0.0,70550.5871042
Latvia,571.327612273,0.0,0.0,0.0,571.327612273
Lithuania,2086.78920222,0.0,0.0,0.0,2086.78920222
Luxembourg,4992.32788334,0.0,287.412392584,0.0,5279.740275924
Malta,349.92014503400003,0.0,0.0,0.0,349.92014503400003
Netherlands,89892.57144690001,0.0,2448.17839998,0.0,92340.74984688
Hungary,15642.1330857,0.0,1057.8265111599999,0.0,16699.95959686
Poland,72875.93216932999,0.0,1010.37063256,3449.28040283,77335.58320472
Portugal,1433.21735351,0.0,0.0,0.0,1433.21735351
Romania,30496.862504869998,0.0,3422.88502251,19545.9222831,53465.66981048
Slovakia,7068.05335185,0.0,0.0,0.0,7068.05335185
Slovenia,6482.626565240001,0.0,1677.74945174,0.0,8160.376016980001
Sweden,60125.64222970001,0.0,593.13510426,3507.25554475,64226.03287871001
Czech Republic,73311.0167056,0.0,1839.94295464,0.0,75150.95966024001
Finland,11975.8815478,0.0,0.0,0.0,11975.8815478
Albania,2513.78203317,0.0,513.36832245,36826.412486,39853.56284162
Switzerland,53546.871518440006,0.0,3115.1807545699994,1646.60462132,58308.65689433001
Norway,39407.47317893,0.0,0.0,0.0,39407.47317893
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,277518.2077022,0.0,1799.4490227000001,4982.293915300001,284299.9506402
Servia,2669.79816563,0.0,667.37881918,101986.28219700001,105323.45918181
Other European countries,24889.103050602,0.0,4724.00630225,273962.80447076,303575.913823612
Japan,543.401675814,0.0,667.37881918,0.0,1210.780494994
Iran,0.0,0.0,0.0,0.0,0.0
Israel,52543.63632220001,0.0,0.0,0.0,52543.63632220001
China,2742.64691086,0.0,0.0,0.0,2742.64691086
Lebanon-Syria,8084.7368584999995,0.0,0.0,0.0,8084.7368584999995
South Korea,475.252932926,0.0,0.0,0.0,475.252932926
Turkey,3679.42389822,0.0,6430.4035013,62344.803872,72454.63127151999
Other Middle East countries,1851.6594008999998,0.0,0.0,0.0,1851.6594008999998
Other Asian countries,3858.4334701860007,0.0,1010.37063256,3174.96686392,8043.770966666
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,909.920874357,0.0,0.0,0.0,909.920874357
Other African Countries,522.242454434,0.0,0.0,0.0,522.242454434
Argentina,4264.24602918,0.0,0.0,0.0,4264.24602918
Brazil,4828.6091545300005,0.0,513.36832245,0.0,5341.977476980001
Mexico,1526.2824119,0.0,505.18531629,0.0,2031.46772819
United States,65993.97559675001,0.0,895.6330082700001,0.0,66889.60860502001
Canada,27940.144618030004,0.0,641.71040306,1646.60462132,30228.459642410002
Other countries of America,4321.348626576,0.0,1334.75763836,0.0,5656.106264936
Australia,17471.06470998,0.0,1294.26370643,0.0,18765.32841641
Other Oceanian countries,2257.2720859300002,0.0,513.36832245,0.0,2770.6404083800003
