Country_Name,Airplay,Railway,Ship,Road,Total
Austria,758.0,0.0,65.0,566.0,1389.0
Belgium,1702.0,0.0,65.0,0.0,1767.0
Bulgaria,1056.0,0.0,5639.0,37270.05462152,43965.05462152
France,8432.0,0.0,2673.0,0.0,11105.0
Germany,19421.0,0.0,1581.0,0.0,21002.0
Denmark,261.0,0.0,0.0,0.0,261.0
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,11847.0,0.0,163.0,0.0,12010.0
Ireland,892.0,0.0,181.0,0.0,1073.0
Spain,2658.0,0.0,457.0,0.0,3115.0
Italy,7456.0,0.0,4687.0,0.0,12143.0
Cyprus,21149.0,0.0,308.0,0.0,21457.0
Latvia,320.0,0.0,0.0,176.808987445,496.808987445
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Malta,0.0,0.0,161.0,0.0,161.0
Netherlands,2819.0,0.0,131.0,0.0,2950.0
Hungary,0.0,0.0,705.0,0.0,705.0
Poland,612.0,0.0,592.0,1131.57751964,2335.57751964
Portugal,399.0,0.0,0.0,0.0,399.0
Romania,4754.0,0.0,1122.0,707.23594978,6583.23594978
Slovakia,647.0,0.0,111.0,0.0,758.0
Slovenia,0.0,0.0,0.0,0.0,0.0
Sweden,1706.0,0.0,0.0,0.0,1706.0
Czech Republic,1471.0,0.0,356.0,0.0,1827.0
Finland,535.0,0.0,0.0,0.0,535.0
Albania,2828.0,0.0,103.0,33931.298894,36862.298894
Switzerland,4770.0,0.0,103.0,320.37621014,5193.37621014
Norway,647.0,0.0,0.0,0.0,647.0
Iceland,488.0,0.0,0.0,0.0,488.0
Russia,2270.0,0.0,0.0,601.1505573,2871.1505573
Servia,1771.0,0.0,0.0,2433.23663043,4204.236630429999
Other European countries,609.6016750766,0.0,0.0,31374.59429116,31984.1959662366
Japan,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0
Israel,3865.0,0.0,0.0,0.0,3865.0
China,201.0,0.0,0.0,0.0,201.0
Lebanon-Syria,1123.0,0.0,0.0,0.0,1123.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,3118.0,0.0,2670.0,42255.115499,48043.115499
Other Middle East countries,439.1569532858,0.0,0.0,0.0,439.1569532858
Other Asian countries,204.2689618798,0.0,80.0,0.0,284.26896187980003
Egypt-Sudan,852.0,0.0,0.0,0.0,258.77962467739997
South Africa,136.0,0.0,0.0,0.0,0.0
Other African Countries,1220.1972398414,0.0,0.0,0.0,837.6516065789
Argentina,204.0,0.0,0.0,0.0,204.0
Brazil,204.0,0.0,0.0,0.0,204.0
Mexico,0.0,0.0,0.0,0.0,0.0
United States,5075.0,0.0,0.0,0.0,5075.0
Canada,1586.0,0.0,0.0,0.0,1586.0
Other countries of America,1288.7186099815,0.0,0.0,0.0,1288.7186099815
Australia,1135.0,0.0,0.0,0.0,1135.0
Other Oceanian countries,0.0,0.0,0.0,0.0,0.0
