Country_Name,Airplay,Railway,Ship,Road,Total
Austria,17389.77626045,0.0,643.210731498,959.8429187300001,18992.829910677996
Belgium,45088.5114157,0.0,110.284578097,0.0,45198.795993797
Bulgaria,239.763691112,0.0,9696.8697712,57993.55354284,67930.18700515201
France,174130.25244630003,0.0,3277.00921121,0.0,177407.26165751004
Germany,197121.6557064,0.0,6064.934373460001,3599.4109453,206786.00102516002
Denmark,13589.13489248,0.0,189.337160701,0.0,13778.472053181
Estonia,4271.60728349,0.0,0.0,0.0,4271.60728349
United Kingdom,174341.15996109997,0.0,1444.9210404700002,0.0,175786.08100156998
Ireland,3435.34275226,0.0,0.0,0.0,3435.34275226
Spain,7017.826788389999,0.0,369.022172232,0.0,7386.848960621999
Italy,39628.039871,0.0,8112.3372338300005,0.0,47740.377104830004
Croatia (2),3143.62741731,0.0,0.0,0.0,3143.62741731
Cyprus,27507.8675978,0.0,0.0,0.0,27507.8675978
Latvia,1999.6605935899997,0.0,0.0,344.19726277,2343.85785636
Lithuania,6101.96846459,0.0,483.86036823,0.0,6585.82883282
Luxembourg,1266.7703027900002,0.0,0.0,0.0,1266.7703027900002
Malta,366.90885244500004,0.0,0.0,0.0,366.90885244500004
Netherlands,80444.2595614,0.0,498.681582694,0.0,80942.941144094
Hungary,1665.44229539,0.0,1152.05183935,0.0,2817.49413474
Poland,44517.573480299994,0.0,902.537604024,4267.44730706,49687.558391383995
Portugal,580.5072347800001,0.0,0.0,0.0,580.5072347800001
Romania,5941.318799709999,0.0,3455.3721972099997,16726.1907168,26122.88171372
Slovakia,1837.3229654220002,0.0,161.286789407,0.0,1998.6097548290002
Slovenia,1080.44524331,0.0,161.286789407,0.0,1241.732032717
Sweden,42059.802230530004,0.0,0.0,0.0,42059.802230530004
Czech Republic,2950.8554482,0.0,161.286789407,619.55507298,3731.697310587
Finland,28166.847083,0.0,0.0,0.0,28166.847083
Albania,560.545254229,0.0,0.0,39544.488879,40105.034133229
Switzerland,27259.03569186,0.0,1350.42921523,0.0,28609.46490709
Norway,34246.79531505,0.0,0.0,0.0,34246.79531505
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,106758.9815634,0.0,1379.16014096,619.55507298,108757.69677734
Servia,3897.0475515800003,0.0,235.141854483,13401.8430626,17534.032468663
Other European countries,12951.890115529002,0.0,1763.28988097,140988.12370439002,155703.30370088902
Japan,2328.2068766899997,0.0,0.0,0.0,2328.2068766899997
Iran,0.0,0.0,0.0,0.0,0.0
Israel,7828.88181468,0.0,0.0,0.0,7828.88181468
China,5719.89524395,0.0,692.357614044,0.0,6412.252857994
Lebanon-Syria,1128.15844718,0.0,0.0,0.0,1128.15844718
South Korea,954.0619352,0.0,0.0,0.0,954.0619352
Turkey,4318.41471288,0.0,1976.09184248,77897.12610034,84191.6326557
Other Middle East countries,4171.494297903,0.0,0.0,0.0,4171.494297903
Other Asian countries,4748.932937855,0.0,235.141854483,0.0,4984.074792338
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,1529.00105224,0.0,0.0,0.0,1529.00105224
Other African Countries,562.933143064,0.0,0.0,0.0,562.933143064
Argentina,4948.1420186,0.0,0.0,0.0,4948.1420186
Brazil,4033.05400101,0.0,0.0,0.0,4033.05400101
Mexico,3138.8466867700004,0.0,0.0,0.0,3138.8466867700004
United States,64662.566522119996,0.0,1063.26347872,0.0,65725.83000084
Canada,15849.87268422,0.0,692.357614044,0.0,16542.230298264
Other countries of America,4058.4668565270003,0.0,0.0,0.0,4058.4668565270003
Australia,6394.7706687,0.0,0.0,0.0,6394.7706687
Other Oceanian countries,536.229157284,0.0,0.0,0.0,536.229157284
