Country_Name,Airplay,Railway,Ship,Road,Total
Austria,58138.0,0.0,8081.0,,66219.0
Belgium,85894.0,0.0,3009.0,0.0,88903.0
Bulgaria,3330.0,0.0,10960.0,47446.0,61736.0
France,256523.0,0.0,18320.0,0.0,274843.0
Germany,370295.0,0.0,29226.0,23747.0,423268.0
Denmark,42247.0,0.0,0.0,1827.0,44074.0
Estonia,639.0,0.0,0.0,0.0,639.0
United Kingdom,389700.0,0.0,4297.0,1122.0,395119.0
Ireland,14441.0,0.0,669.0,0.0,15110.0
Spain,54414.0,0.0,1291.0,0.0,55705.0
Italy,206695.0,0.0,115144.0,401.0,322240.0
Cyprus,61328.0,0.0,341.0,0.0,61669.0
Latvia,1500.0,0.0,911.0,0.0,2411.0
Lithuania,3615.0,0.0,0.0,0.0,3615.0
Luxembourg,3640.0,0.0,551.0,0.0,4191.0
Malta,638.0,0.0,0.0,0.0,638.0
Netherlands,99192.0,0.0,5890.0,0.0,105082.0
Hungary,18395.0,0.0,946.0,5069.0,24410.0
Poland,85302.0,0.0,302.0,601.0,86205.0
Portugal,8465.0,0.0,0.0,0.0,8465.0
Romania,3610.0,0.0,3880.0,9351.0,16841.0
Slovakia,14809.0,0.0,741.0,0.0,15550.0
Slovenia,2579.0,0.0,5072.0,0.0,7651.0
Sweden,64797.0,0.0,429.0,0.0,65226.0
Czech Republic,89289.0,0.0,341.0,0.0,89630.0
Finland,26442.0,0.0,0.0,0.0,26442.0
Albania,0.0,0.0,1594.0,26395.0,27989.0
Switzerland,64591.0,0.0,9214.0,0.0,73805.0
Norway,37168.0,0.0,584.0,0.0,37752.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,165629.0,0.0,302.0,1150.0,167081.0
Servia-Montenegro,3940.0,0.0,6087.0,278115.0,288142.0
Other European countries,14339.0,0.0,2035.0,277677.0,294051.0
Japan,0.0,0.0,0.0,0.0,0.0
Iran,1634.0,0.0,0.0,0.0,1634.0
Israel,28812.0,0.0,0.0,0.0,28812.0
China,1704.0,0.0,0.0,0.0,1704.0
Lebanon-Syria,501.0,0.0,0.0,0.0,501.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,1389.0,0.0,4518.0,34713.0,40620.0
Other Middle East countries,225.0,0.0,302.0,,527.0
Other Asian countries,1244.0,0.0,0.0,0.0,1244.0
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,2234.0,0.0,0.0,0.0,2234.0
Other African Countries,1902.0,0.0,0.0,0.0,1902.0
Argentina,3046.0,0.0,0.0,0.0,3046.0
Brazil,5756.0,0.0,0.0,0.0,5756.0
Mexico,0.0,0.0,149.0,0.0,149.0
United States,52064.0,0.0,1117.0,2192.0,55373.0
Canada,28488.0,0.0,1465.0,0.0,29953.0
Other countries of America,1562.0,0.0,0.0,0.0,1562.0
Australia,18596.0,0.0,574.0,0.0,19170.0
Other Oceanian countries,3278.0,0.0,767.0,0.0,4045.0
Non-identifiable countries Travelers ,,,,,0.0
