Country_Name,Airplay,Railway,Ship,Road,Total
Austria,2145.0,0.0,416.0,0.0,2561.0
Belgium,6515.0,0.0,287.0,0.0,6802.0
Bulgaria,866.0,0.0,9619.0,32151.0,42636.0
France,15940.0,0.0,2581.0,0.0,18521.0
Germany,26325.0,0.0,4768.0,0.0,31093.0
Denmark,1525.0,0.0,0.0,0.0,1525.0
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,23902.0,0.0,876.0,345.0,25123.0
Ireland,209.0,0.0,287.0,0.0,496.0
Spain,3058.0,0.0,703.0,0.0,3761.0
Italy,6399.0,0.0,8215.0,0.0,14614.0
Cyprus,40335.0,0.0,0.0,0.0,40335.0
Latvia,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,209.0,0.0,0.0,0.0,209.0
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,4634.0,0.0,590.0,0.0,5224.0
Hungary,897.0,0.0,855.0,0.0,1752.0
Poland,0.0,0.0,3619.0,1035.0,4654.0
Portugal,445.0,0.0,0.0,0.0,445.0
Romania,4415.0,0.0,0.0,13171.0,17586.0
Slovakia,0.0,0.0,0.0,0.0,0.0
Slovenia,178.0,0.0,0.0,226.0,404.0
Sweden,2453.0,0.0,287.0,0.0,2740.0
Czech Republic,1765.0,0.0,0.0,0.0,1765.0
Finland,1091.0,0.0,0.0,0.0,1091.0
Albania,2272.0,0.0,180.0,45587.0,48039.0
Switzerland,3815.0,0.0,880.0,0.0,4695.0
Norway,1288.0,0.0,0.0,0.0,1288.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,4184.0,0.0,180.0,345.0,4709.0
Servia-Montenegro,433.0,0.0,711.0,3890.0,5034.0
Other European countries,889.0,0.0,965.0,39060.0,40914.0
Japan,1023.0,0.0,0.0,0.0,1023.0
Iran,630.0,0.0,0.0,0.0,630.0
Israel,2521.0,0.0,0.0,0.0,2521.0
China,363.0,0.0,0.0,0.0,363.0
Lebanon-Syria,433.0,0.0,0.0,0.0,433.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,4990.0,0.0,4649.0,27644.0,37283.0
Other Middle East countries,1012.0,0.0,0.0,0.0,1012.0
Other Asian countries,3002.0,0.0,180.0,345.0,3527.0
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,1318.0,0.0,0.0,0.0,1318.0
Other African Countries,1735.0,0.0,0.0,0.0,1735.0
Argentina,710.0,0.0,0.0,0.0,710.0
Brazil,1602.0,0.0,0.0,0.0,1602.0
Mexico,0.0,0.0,0.0,0.0,0.0
United States,25874.0,0.0,725.0,0.0,26599.0
Canada,4279.0,0.0,0.0,0.0,4279.0
Other countries of America,866.0,0.0,0.0,0.0,866.0
Australia,756.0,0.0,0.0,0.0,756.0
Other Oceanian countries,,0.0,0.0,0.0,0.0
Non-identifiable countries Travelers ,,,,,0.0
