Country_Name,Airplay,Railway,Ship,Road,Total
Austria,42358.375443959994,0.0,5641.724707783999,0.0,48000.100151743995
Belgium,79039.2935752,0.0,1869.51368644,0.0,80908.80726164
Bulgaria,0.0,0.0,6808.78816314,47938.4045418,54747.192704940004
France,294647.6972819,0.0,17239.30162248,3833.43215417,315720.43105854996
Germany,308211.8460797999,0.0,29052.78665442,59034.855174,396299.4879082199
Denmark,38983.239694200005,0.0,149.66773226,0.0,39132.907426460006
Estonia,2330.40010028,0.0,0.0,0.0,2330.40010028
United Kingdom,373515.42330699996,0.0,1522.59266426,0.0,375038.01597125997
Ireland,11821.955141519999,0.0,0.0,0.0,11821.955141519999
Spain,25456.589267,0.0,804.13345968,0.0,26260.72272668
Italy,232273.048133,0.0,123919.06084699999,0.0,356192.10898
Croatia (2),0.0,0.0,0.0,0.0,0.0
Cyprus,48259.35368393,0.0,0.0,0.0,48259.35368393
Latvia,5588.4608491,0.0,0.0,632.9268373799999,6221.3876864799995
Lithuania,6349.48927243,0.0,0.0,632.9268373799999,6982.416109809999
Luxembourg,5672.96993379,0.0,0.0,0.0,5672.96993379
Malta,195.270265731,0.0,0.0,0.0,195.270265731
Netherlands,148411.03605843,0.0,4946.72967082,0.0,153357.76572925
Hungary,10955.011842279999,0.0,1096.55235497,3833.43215417,15884.996351419999
Poland,88521.1137615,0.0,1242.10359444,1661.4329481599998,91424.65030410001
Portugal,3426.84427685,0.0,434.50900134,1005.50291053,4866.856188719999
Romania,20145.506293799997,0.0,4303.49381041,31928.1927175,56377.19282170999
Slovakia,32607.527225320002,0.0,0.0,0.0,32607.527225320002
Slovenia,3412.62111658,0.0,1790.0397391,0.0,5202.66085568
Sweden,67094.433681,0.0,0.0,4600.118585,71694.552266
Czech Republic,50370.30415119999,0.0,1790.0397391,632.9268373799999,52793.27072767999
Finland,19816.68518955,0.0,77.02415839,0.0,19893.70934794
Albania,2406.67740679,0.0,895.01986955,33670.6352339,36972.33251024
Switzerland,57574.64934027001,0.0,15039.08199818,0.0,72613.73133845
Norway,55513.71717927,0.0,0.0,0.0,55513.71717927
Iceland,0.0,0.0,0.0,231.949988607,231.949988607
Russia,310998.394687,0.0,1417.0570358300001,8161.9022509999995,320577.35397383
Servia,5825.8028955,0.0,0.0,225433.63095199998,231259.43384749998
Other European countries,38792.5282698,0.0,285.453158144,486240.67314912,525318.654577064
Japan,3698.2061690100004,0.0,0.0,0.0,3698.2061690100004
Iran,0.0,0.0,0.0,0.0,0.0
Israel,45117.895811710005,0.0,0.0,0.0,45117.895811710005
China,3123.8546607860003,0.0,0.0,0.0,3123.8546607860003
Lebanon-Syria,6663.74189257,0.0,0.0,0.0,6663.74189257
South Korea,586.4295296,0.0,0.0,0.0,586.4295296
Turkey,1475.6156297999999,0.0,6144.12318649,113078.70955408001,120698.44837037001
Other Middle East countries,6017.477240529,0.0,201.532485416,0.0,6219.009725944999
Other Asian countries,3794.5705085490004,0.0,0.0,1674.40216788,5468.972676429001
Egypt-Sudan,0.0,0.0,0.0,0.0,0.0
South Africa,2808.65375195,0.0,0.0,0.0,2808.65375195
Other African Countries,610.896857512,0.0,347.083724885,0.0,957.980582397
Argentina,2715.6417066100003,0.0,0.0,0.0,2715.6417066100003
Brazil,3145.48929092,0.0,0.0,0.0,3145.48929092
Mexico,3523.84674958,0.0,201.532485416,0.0,3725.379234996
United States,79901.21578812,0.0,548.6162103,632.9268373799999,81082.75883579999
Canada,50382.163896310005,0.0,1024.4056046800001,0.0,51406.56950099001
Other countries of America,2927.909463049,0.0,0.0,0.0,2927.909463049
Australia,22246.750896939997,0.0,335.887475694,0.0,22582.638372633995
Other Oceanian countries,2128.09614306,0.0,285.453158144,0.0,2413.549301204
