Country_Name,Airplay,Railway,Ship,Road,Total
Austria,3964.31799849,0.0,1231.0848560299999,249.06949435,5444.47234887
Belgium,4712.76813947,0.0,183.719810332,0.0,4896.487949802
Bulgaria,417.27393212199996,161.68130129,5943.240153659999,186588.518339,193110.713726072
France,11049.2524368,0.0,648.349537012,0.0,11697.601973812
Germany,34973.4008266,8.0900562852,5053.983265399999,3431.764105,43467.2382532852
Denmark,1331.28043625,0.0,0.0,0.0,1331.28043625
Estonia,465.58460591799997,0.0,0.0,0.0,465.58460591799997
United Kingdom,39130.447268,0.0,581.043607625,0.0,39711.490875625
Ireland,1275.97794975,0.0,0.0,0.0,1275.97794975
Spain,1640.1222519199998,0.0,203.356072416,0.0,1843.4783243359998
Italy,40245.248039499995,0.0,3726.7154873299996,0.0,43971.96352683
Croatia (2),0.0,0.0,197.56631277600002,0.0,197.56631277600002
Cyprus,22941.675782500002,0.0,398.435187965,0.0,23340.110970465
Latvia,1058.04042588,0.0,0.0,0.0,1058.04042588
Lithuania,0.0,0.0,95.530397366,0.0,95.530397366
Luxembourg,0.0,0.0,472.422369417,0.0,472.422369417
Malta,0.0,0.0,133.874743722,0.0,133.874743722
Netherlands,5922.77319336,0.0,431.207007224,0.0,6353.980200584
Hungary,1930.59514242,0.0,567.465234851,0.0,2498.060377271
Poland,1362.22069578,9.7589199924,629.4934048570001,11277.3280315,13278.8010521294
Portugal,548.738346551,0.0,242.772606507,0.0,791.5109530579999
Romania,5622.634653599999,21.292189074,1422.4465988900001,24605.079342,31671.452783564
Slovakia,479.362157704,0.0,0.0,0.0,479.362157704
Slovenia,0.0,0.0,95.530397366,0.0,95.530397366
Sweden,0.0,0.0,320.894057605,0.0,320.894057605
Czech Republic,739.83338481,1.0350369689,0.0,2642.61233043,3383.4807522089
Finland,574.1886035050001,0.0,177.158388534,0.0,751.346992039
Albania,1802.0365207300001,2.0525628518,0.0,27726.127071429997,29530.216155011796
Switzerland,6517.865022740001,2.0525628518,763.368148581,870.68757866,8153.973312832802
Norway,390.36410547099996,0.0,0.0,0.0,390.36410547099996
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,6283.05993743,1.0350369689,507.090140637,2642.61233043,9433.797445465902
Servia,1635.32665804,16.890356716,133.874743722,9760.3158182,11546.407576678
Other European countries,4486.444841982,117.7879279298,529.120888497,55047.9537553,60181.3074137088
Japan,501.594775783,0.0,0.0,0.0,501.594775783
Iran,0.0,0.0,0.0,0.0,0.0
Israel,6387.3363766,0.0,0.0,0.0,6387.3363766
China,5294.585312624001,0.0,0.0,0.0,5294.585312624001
Lebanon-Syria,2134.68033441,0.0,144.170012023,0.0,2278.8503464329997
South Korea,1438.08647308,0.0,0.0,0.0,1438.08647308
Turkey,6900.0654758,1.0350369689,3003.16717792,39770.26917003,49674.5368607189
Other Middle East countries,4241.680285717,0.0,0.0,0.0,4241.680285717
Other Asian countries,3089.1815642179995,1.0350369689,169.03004687600003,1196.0802457700001,4455.3268938329
Egypt-Sudan,1460.3190911699999,0.0,0.0,0.0,1460.3190911699999
South Africa,501.594775783,0.0,0.0,0.0,501.594775783
Other African Countries,501.594775783,0.0,0.0,0.0,501.594775783
Argentina,1898.34859353,0.0,0.0,0.0,1898.34859353
Brazil,3612.6996832900004,0.0,0.0,0.0,3612.6996832900004
Mexico,0.0,0.0,0.0,0.0,0.0
United States,17658.3624252,0.0,0.0,0.0,17658.3624252
Canada,5571.052352029999,0.0,278.044755744,0.0,5849.097107774
Other countries of America,2821.0627391259995,0.0,0.0,0.0,2821.0627391259995
Australia,7256.7141472,0.0,0.0,0.0,7256.7141472
Other Oceanian countries,967.4886565099999,0.0,0.0,0.0,967.4886565099999
