Country_Name,Airplay,Railway,Ship,Road,Total
Austria,1916.0,22.0,0.0,570.0,2508.0
Belgium,4237.0,0.0,1177.0,0.0,5414.0
Bulgaria,3087.0,918.0,3118.0,28184.0,35307.0
France,11875.0,0.0,4708.0,0.0,16583.0
Germany,22632.0,0.0,3547.0,0.0,26179.0
Denmark,1894.0,0.0,0.0,0.0,1894.0
Estonia,609.0,0.0,0.0,0.0,609.0
United Kingdom,22110.0,0.0,4741.0,0.0,26851.0
Ireland,2084.0,0.0,0.0,0.0,2084.0
Spain,3475.0,0.0,0.0,0.0,3475.0
Italy,3741.0,0.0,10838.0,0.0,14579.0
Cyprus,32664.0,0.0,0.0,0.0,32664.0
Latvia,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Malta,85.0,0.0,0.0,0.0,85.0
Netherlands,1799.0,0.0,0.0,0.0,1799.0
Hungary,643.0,0.0,0.0,0.0,643.0
Poland,925.0,11.0,0.0,340.0,1276.0
Portugal,1083.0,0.0,0.0,0.0,1083.0
Romania,2221.0,241.0,801.0,7223.0,10486.0
Slovakia,952.0,0.0,0.0,0.0,952.0
Slovenia,391.0,0.0,0.0,0.0,391.0
Sweden,869.0,0.0,588.0,0.0,1457.0
Czech Republic,430.0,11.0,0.0,339.0,780.0
Finland,827.0,0.0,0.0,0.0,827.0
Albania,1487.0,0.0,0.0,25855.0,27342.0
Switzerland,3789.0,11.0,0.0,339.0,4139.0
Norway,1082.0,0.0,0.0,0.0,1082.0
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,3710.0,11.0,0.0,339.0,4060.0
Servia-Montenegro,444.0,0.0,779.0,6552.0,7775.0
Other European countries,763.0,12.0,780.0,48542.0,50097.0
Japan,1258.0,0.0,0.0,0.0,1258.0
Iran,496.0,0.0,0.0,0.0,496.0
Israel,1610.0,0.0,0.0,0.0,1610.0
China,496.0,0.0,0.0,0.0,496.0
Lebanon-Syria,1610.0,0.0,0.0,0.0,1610.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,2594.0,566.0,0.0,14627.0,17787.0
Other Middle East countries,668.0,0.0,0.0,0.0,668.0
Other Asian countries,593.0,0.0,0.0,0.0,593.0
Egypt-Sudan,861.0,0.0,0.0,0.0,861.0
South Africa,668.0,0.0,0.0,0.0,668.0
Other African Countries,792.0,0.0,0.0,0.0,792.0
Argentina,609.0,0.0,0.0,0.0,609.0
Brazil,1799.0,0.0,0.0,0.0,1799.0
Mexico,0.0,0.0,0.0,0.0,0.0
United States,10601.0,0.0,0.0,0.0,10601.0
Canada,4084.0,0.0,801.0,0.0,4885.0
Other countries of America,2099.0,0.0,0.0,0.0,2099.0
Australia,3647.0,0.0,0.0,0.0,3647.0
Other Oceanian countries,297.0,0.0,0.0,0.0,297.0
Non-identifiable countries Travelers ,,,,,0.0
